Item,Calories,Fat Calories,Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carb (g),Dietary Fiber (g),Sugars (g),Protein (g),Category
Spicy Chicken Nuggets- 4pc,210,130,15,3,0,20,570,11,2,0,8,Chicken & More
Spicy Chicken Nuggets- 6pc,320,200,22,4.5,0,35,850,17,3,0,12,Chicken & More
Spicy Chicken Nuggets- 10 pc,530,330,37,7,0,55,1420,28,4,1,20,Chicken & More
Spicy Chicken Nuggets- 20 pc,1050,670,74,15,0,110,2840,56,9,1,40,Chicken & More
Crispy Taco,170,80,9,3,0,10,410,19,2,1,5,Chicken & More
BIG FISH Sandwich,570,270,30,5,0,50,1270,58,3,8,19,Chicken & More
HERSHEY'S Sundae Pie,310,160,18,12,0,10,230,32,1,22,3,Desserts
Soft Serve Cone,200,45,5,3.5,0,20,150,33,0,22,5,Desserts
Soft Serve Cup,180,45,5,3.5,0,20,150,28,0,22,4,Desserts
HERSHEY'S Chocolate Sundae,260,45,5,3.5,0,20,150,49,1,41,5,Desserts
OREOCookie Shake,680,180,20,12,0.5,65,470,111,1,88,13,Desserts
OREOCookie Chocolate Shake,710,180,20,12,0.5,65,480,118,2,93,14,Desserts
Vanilla Shake,600,150,16,11,0.5,65,410,98,0,81,13,Desserts
HERSHEY'S Chocolate Shake,630,150,17,11,0.5,65,420,105,1,86,13,Desserts
Chocolate Chip Cookies (each),160,70,8,4,0,10,110,23,0.5,14,2,Desserts
Chicken Garden Salad w/o dressing,550,260,29,9,0,85,1120,81,2,3,36,Salads & Sides
Chicken Club Salad w/o dressing,670,350,40,13,0,105,1610,82,2,3,45,Salads & Sides
Garden Side Salad w/o dressing,110,70,8,5,0,15,190,3,0.5,1,9,Salads & Sides
Ken's Golden Italian Dressing,190,180,20,3,0,0,450,4,0,4,0,Salads & Sides
Ken's Ranch Dressing,210,180,20,3.5,0,20,340,4,0,2,0.5,Salads & Sides
Ken's Lite Honey Balsamic Vinaigrette,120,70,8,1,0,0,210,13,0,12,0,Salads & Sides
Buttery Garlic Croutons- Packet,60,20,3,0,0,0,180,9,0,0.5,1,Salads & Sides
Onion Rings- value,200,80,9,1.5,0,0,370,27,3,3,3,Salads & Sides
Onion Rings- small,280,120,13,2,0,0,510,37,4,4,4,Salads & Sides
Onion Rings- medium,360,150,16,2.5,0,0,640,48,5,5,4,Salads & Sides
Onion Rings- large,520,220,24,4,0,0,950,70,7,7,7,Salads & Sides
French Fries- value*,230,90,10,1,0,0,170,33,2,0.5,3,Salads & Sides
French Fries- small*,300,110,13,2,0,0,220,43,3,1,4,Salads & Sides
French Fries- medium*,370,140,16,2,0,0,270,54,4,1,5,Salads & Sides
French Fries- large*,440,170,19,3,0,0,320,64,5,1,5,Salads & Sides
